,id,name,picture_url
0,1011334,3-D Man,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg
1,1017100,A-Bomb (HAS),http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg
2,1009144,A.I.M.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg
3,1010699,Aaron Stack,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
4,1009146,Abomination (Emil Blonsky),http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg
5,1016823,Abomination (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
6,1009148,Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg
7,1009149,Abyss,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg
8,1010903,Abyss (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg
9,1011266,Adam Destine,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
10,1010354,Adam Warlock,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg
11,1010846,Aegis (Trey Rollins),http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif
12,1017851,Aero (Aero),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
13,1012717,Agatha Harkness,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg
14,1011297,Agent Brand,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg
15,1011031,Agent X (Nijo),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
16,1009150,Agent Zero,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg
17,1011198,Agents of Atlas,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg
18,1011175,Aginar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
19,1011136,Air-Walker (Gabriel Lan),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
20,1011176,Ajak,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg
21,1010870,Ajaxis,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg
22,1011194,Akemi,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
23,1011170,Alain,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
24,1009240,Albert Cleary,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
25,1011120,Albion,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
26,1010836,Alex Power,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg
27,1010755,Alex Wilder,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg
28,1011214,Alexa Mendez,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
29,1009497,Alexander Pierce,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
30,1014990,Alice,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg
31,1009435,Alicia Masters,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae.jpg
32,1010370,Alpha Flight,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg
33,1011324,Alpha Flight (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
34,1011164,Alvin Maker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
35,1011227,Amadeus Cho,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581.jpg
36,1009567,Amanda Sefton,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
37,1011382,Amazoness,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
38,1011361,American Eagle (Jason Strongbow),http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg
39,1009151,Amiko,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
